rank,title,releasedOn,studio,genre,rating,revenue,tickets
310,Dolphin Tale,9/23/11,Warner Bros.,Drama,PG,216306,27174
311,Neil Young Journeys,6/29/12,Sony Pictures Classics,Concert/Performance,PG,214588,26958
312,Thaandavam,9/28/12,UTV Communications,Action,Not Rated,213476,26818
313,Back to 1942,11/30/12,China Lion Film Distribution,Drama,Not Rated,212475,26692
314,Tai Chi Zero,10/19/12,Variance Films,Action,PG-13,212094,26644
315,The Help,8/10/11,Walt Disney,Drama,PG-13,206041,25884
316,Drive,9/16/11,FilmDistrict,Action,R,205312,25792
317,Touchback,4/13/12,Anchor Bay Entertainment,Drama,PG-13,204157,25647
318,10 Years,9/14/12,Anchor Bay Entertainment,Drama,PG-13,203654,25584
319,Tim and Eric's Billion Dollar Movie,3/2/12,Magnet Pictures,Comedy,R,201436,25306
320,Brooklyn Castle,10/19/12,Producers Distribution Agency,Documentary,PG,197423,24801
321,Easy Money,7/11/12,Weinstein Co.,Thriller/Suspense,R,188870,23727
322,The House I Live In,10/5/12,Abramorama Films,Documentary,Not Rated,181782,22836
323,Fullmetal Alchemist: The Sacred Star of Milos,1/20/12,Eleven Arts,Adventure,Not Rated,178000,22361
324,The Hunter,4/6/12,Magnolia Pictures,Drama,R,176669,22194
325,The Waiting Room,9/21/12,International Film Circuit,Documentary,Not Rated,175987,22108
326,Flying Swords of Dragon Gate 3D,8/31/12,Indomina Releasing,Action,R,170276,21391
327,War Witch,3/1/13,TriBeca Films,Drama,Not Rated,168028,21109
328,The Big Picture,10/12/12,MPI Media Group,Drama,Not Rated,158411,19900
329,Elles,4/27/12,Kino Lorber,Drama,NC-17,157427,19777
330,Hecho en México,11/30/12,Pantelion Films,Documentary,R,151133,18986
331,Simon & The Oaks,10/12/12,Film Arcade,Drama,Not Rated,150109,18857
332,Not Fade Away,12/21/12,Paramount Vantage,Drama,R,146798,18441
333,I Wish,5/11/12,Magnolia Pictures,Drama,PG,145808,18317
334,'Luv Shuv Tey Chicken Khurana,11/2/12,UTV Communications,Comedy,Not Rated,143900,18077
335,Bullhead,2/17/12,Drafthouse Films,Drama,R,142616,17916
336,This Must Be the Place,11/2/12,Weinstein Co.,Black Comedy,R,142242,17869
337,High School,6/1/12,Anchor Bay Entertainment,Comedy,R,139034,17466
